id;fecha_creacion;fecha_emision;name;nasa_jpl_url;absolute_magnitude_h;relative_velocity;miss_distance;estimated_diameter_min_kilometers;estimated_diameter_max_kilometers
2313809;2024-05-19;2024-05-18;313809 (2004 BH41);https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2313809;19.32;86386.1361859854;72724832.99765824;0.3635423218;0.8129053443
3261401;2024-05-19;2024-05-18;(2004 VZ);https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3261401;24.6;39203.2909795824;28474383.98630201;0.0319561887;0.0714562102
3841884;2024-05-19;2024-05-18;(2019 JD6);https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3841884;24.88;45560.0698129019;38229014.886042766;0.0280902094;0.0628116177
54016987;2024-05-19;2024-05-18;(2020 JZ);https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54016987;22.87;82819.6218603979;42858382.60751521;0.0708851033;0.1585039096
54159392;2024-05-19;2024-05-18;(2021 LO5);https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54159392;20.67;12352.7604867545;69719156.51555286;0.1952337862;0.4365560173
54356994;2024-05-19;2024-05-18;(2023 HU5);https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54356994;27.58;18251.9062379792;25521596.380035806;0.0081013049;0.0181150684
54434077;2024-05-19;2024-05-18;(2024 GG5);https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54434077;23.15;14812.5211335293;49949939.09576384;0.0623096019;0.1393285055
54434349;2024-05-19;2024-05-18;(2024 GE6);https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54434349;24.57;12074.9478014715;9935035.174873896;0.0324007435;0.0724502651
54439709;2024-05-19;2024-05-18;(2024 JL1);https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54439709;23.064;26405.2705570964;31862549.02623004;0.0648268586;0.1449572625
54439716;2024-05-19;2024-05-18;(2024 JQ1);https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54439716;27.085;10763.4543958213;2173652.174209438;0.0101754817;0.0227530687
